config,val_recall,val_f1,test_recall,test_f1,test_accuracy
lr0001_h128,0.9885057471264368,0.9885057471264368,0.9942528735632183,0.9829545454545454,0.9827586206896551
lr0001_h256,0.9885057471264368,0.9297297297297298,0.9885057471264368,0.900523560209424,0.8908045977011494
lr0001_h512,0.9885057471264368,0.9885057471264368,0.9942528735632183,0.9774011299435028,0.9770114942528736
lr00005_h128,0.9885057471264368,0.9828571428571429,0.9942528735632183,0.9664804469273743,0.9655172413793104
lr00005_h256,0.9885057471264368,0.9828571428571429,0.9942528735632183,0.9746478873239437,0.9741379310344828
lr00005_h512,0.9885057471264368,0.9885057471264368,0.9827586206896551,0.9855907780979827,0.985632183908046
lr00001_h128,0.9885057471264368,0.9885057471264368,0.9942528735632183,0.9774011299435028,0.9770114942528736
lr00001_h256,0.9885057471264368,0.9913544668587896,0.9942528735632183,0.9801699716713881,0.9798850574712644
lr00001_h512,0.9885057471264368,0.9717514124293786,1.0,0.9482288828337875,0.9454022988505747
