config,val_recall,val_f1,test_recall,test_f1,test_accuracy
ng11_mf10000_C100_sub1,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng11_mf10000_C100_sub0,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng11_mf10000_C10_sub1,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng11_mf100000_C100_sub0,0.9885057471264368,0.9942196531791907,0.9885057471264368,0.9885057471264368,0.9885057471264368
ng11_mf100000_C100_sub1,0.9885057471264368,0.9942196531791907,0.9885057471264368,0.9885057471264368,0.9885057471264368
ng11_mf50000_C10_sub1,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng11_mf50000_C100_sub0,0.9885057471264368,0.9942196531791907,0.9885057471264368,0.9885057471264368,0.9885057471264368
ng11_mf50000_C100_sub1,0.9885057471264368,0.9942196531791907,0.9885057471264368,0.9885057471264368,0.9885057471264368
ng13_mf50000_C100_sub0,0.9885057471264368,0.9942196531791907,0.9885057471264368,0.9885057471264368,0.9885057471264368
ng13_mf50000_C100_sub1,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng13_mf50000_C10_sub0,0.9885057471264368,0.9942196531791907,0.9885057471264368,0.9885057471264368,0.9885057471264368
ng13_mf50000_C10_sub1,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng13_mf100000_C10_sub1,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng11_mf100000_C10_sub1,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng12_mf10000_C100_sub1,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng12_mf10000_C100_sub0,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng12_mf50000_C100_sub0,0.9885057471264368,0.9942196531791907,0.9885057471264368,0.9885057471264368,0.9885057471264368
ng12_mf50000_C100_sub1,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng12_mf50000_C10_sub0,0.9885057471264368,0.9942196531791907,0.9885057471264368,0.9885057471264368,0.9885057471264368
ng12_mf50000_C10_sub1,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng12_mf10000_C10_sub1,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng12_mf10000_C10_sub0,0.9885057471264368,0.9942196531791907,0.9885057471264368,0.9885057471264368,0.9885057471264368
ng12_mf100000_C100_sub1,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng12_mf100000_C100_sub0,0.9885057471264368,0.9942196531791907,0.9885057471264368,0.9885057471264368,0.9885057471264368
ng13_mf10000_C100_sub0,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng13_mf10000_C100_sub1,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng13_mf10000_C10_sub0,0.9885057471264368,0.9942196531791907,0.9885057471264368,0.9885057471264368,0.9885057471264368
ng13_mf10000_C10_sub1,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng12_mf100000_C10_sub1,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng13_mf100000_C10_sub0,0.9885057471264368,0.9942196531791907,0.9827586206896551,0.9855907780979827,0.985632183908046
ng13_mf100000_C100_sub1,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
ng13_mf100000_C100_sub0,0.9885057471264368,0.9942196531791907,0.9885057471264368,0.9885057471264368,0.9885057471264368
ng12_mf100000_C10_sub0,0.9885057471264368,0.9942196531791907,0.9885057471264368,0.9885057471264368,0.9885057471264368
ng11_mf10000_C10_sub0,0.9827586206896551,0.991304347826087,0.9827586206896551,0.9855907780979827,0.985632183908046
ng11_mf100000_C10_sub0,0.9827586206896551,0.991304347826087,0.9827586206896551,0.9855907780979827,0.985632183908046
ng11_mf50000_C10_sub0,0.9827586206896551,0.991304347826087,0.9827586206896551,0.9855907780979827,0.985632183908046
ng13_mf10000_C01_sub1,0.9080459770114943,0.9518072289156626,0.9310344827586207,0.9585798816568047,0.9597701149425287
ng12_mf10000_C01_sub1,0.8563218390804598,0.9226006191950464,0.896551724137931,0.9397590361445783,0.9425287356321839
ng13_mf10000_C01_sub0,0.8448275862068966,0.9158878504672897,0.9080459770114943,0.9461077844311377,0.9482758620689655
ng13_mf50000_C01_sub1,0.8390804597701149,0.9125,0.8563218390804598,0.9197530864197531,0.9252873563218391
ng12_mf10000_C01_sub0,0.8333333333333334,0.9090909090909091,0.8620689655172413,0.9202453987730062,0.9252873563218391
ng13_mf100000_C01_sub1,0.8333333333333334,0.9090909090909091,0.8505747126436781,0.9164086687306502,0.9224137931034483
ng12_mf100000_C01_sub1,0.8275862068965517,0.9056603773584906,0.8160919540229885,0.8930817610062893,0.9022988505747126
ng12_mf50000_C01_sub1,0.8275862068965517,0.9056603773584906,0.8160919540229885,0.8930817610062893,0.9022988505747126
ng13_mf100000_C01_sub0,0.8218390804597702,0.9022082018927445,0.8275862068965517,0.9028213166144201,0.9109195402298851
ng13_mf50000_C01_sub0,0.8218390804597702,0.9022082018927445,0.8333333333333334,0.90625,0.9137931034482759
ng12_mf50000_C01_sub0,0.8103448275862069,0.8952380952380953,0.8103448275862069,0.8924050632911392,0.9022988505747126
ng12_mf100000_C01_sub0,0.8103448275862069,0.8952380952380953,0.8103448275862069,0.8924050632911392,0.9022988505747126
ng13_mf10000_C001_sub1,0.8045977011494253,0.89171974522293,0.7988505747126436,0.8853503184713376,0.896551724137931
ng11_mf10000_C01_sub1,0.8045977011494253,0.89171974522293,0.7988505747126436,0.8825396825396825,0.8936781609195402
ng11_mf100000_C01_sub1,0.7931034482758621,0.8846153846153846,0.8045977011494253,0.8860759493670886,0.896551724137931
ng11_mf50000_C01_sub1,0.7931034482758621,0.8846153846153846,0.8045977011494253,0.8860759493670886,0.896551724137931
ng11_mf50000_C001_sub1,0.7873563218390804,0.8810289389067524,0.7988505747126436,0.8825396825396825,0.8936781609195402
ng11_mf10000_C01_sub0,0.7873563218390804,0.8810289389067524,0.7988505747126436,0.8825396825396825,0.8936781609195402
ng11_mf10000_C001_sub1,0.7873563218390804,0.8810289389067524,0.7931034482758621,0.8789808917197452,0.8908045977011494
ng11_mf100000_C001_sub1,0.7873563218390804,0.8810289389067524,0.7988505747126436,0.8825396825396825,0.8936781609195402
ng12_mf10000_C001_sub1,0.7873563218390804,0.8810289389067524,0.7873563218390804,0.8782051282051282,0.8908045977011494
ng11_mf50000_C01_sub0,0.7816091954022989,0.8774193548387097,0.7931034482758621,0.8817891373801917,0.8936781609195402
ng11_mf100000_C01_sub0,0.7816091954022989,0.8774193548387097,0.7931034482758621,0.8817891373801917,0.8936781609195402
ng13_mf10000_C001_sub0,0.7816091954022989,0.8774193548387097,0.7873563218390804,0.8782051282051282,0.8908045977011494
ng12_mf100000_C001_sub1,0.7758620689655172,0.8737864077669902,0.7873563218390804,0.8782051282051282,0.8908045977011494
ng12_mf50000_C001_sub1,0.7758620689655172,0.8737864077669902,0.7873563218390804,0.8782051282051282,0.8908045977011494
ng12_mf10000_C001_sub0,0.7701149425287356,0.8701298701298701,0.7816091954022989,0.8745980707395499,0.8879310344827587
ng13_mf100000_C001_sub1,0.764367816091954,0.8664495114006515,0.764367816091954,0.8636363636363636,0.8793103448275862
ng12_mf50000_C001_sub0,0.764367816091954,0.8664495114006515,0.7758620689655172,0.8709677419354839,0.8850574712643678
ng13_mf50000_C001_sub1,0.764367816091954,0.8664495114006515,0.764367816091954,0.8636363636363636,0.8793103448275862
ng12_mf100000_C001_sub0,0.764367816091954,0.8664495114006515,0.7758620689655172,0.8709677419354839,0.8850574712643678
ng11_mf10000_C001_sub0,0.7586206896551724,0.8627450980392157,0.7816091954022989,0.8745980707395499,0.8879310344827587
ng11_mf50000_C001_sub0,0.7586206896551724,0.8627450980392157,0.7816091954022989,0.8745980707395499,0.8879310344827587
ng11_mf100000_C001_sub0,0.7586206896551724,0.8627450980392157,0.7816091954022989,0.8745980707395499,0.8879310344827587
ng13_mf50000_C001_sub0,0.7586206896551724,0.8627450980392157,0.7816091954022989,0.8745980707395499,0.8879310344827587
ng13_mf100000_C001_sub0,0.7586206896551724,0.8627450980392157,0.7758620689655172,0.8709677419354839,0.8850574712643678
