config,use_text,use_features,val_recall,val_f1,test_recall,test_f1,test_accuracy
text_only,True,False,0.9885057471264368,0.9942196531791907,0.9942528735632183,0.9914040114613181,0.9913793103448276
text_feat,True,True,0.9655172413793104,0.9627507163323782,0.9885057471264368,0.98005698005698,0.9798850574712644
feat_only,False,True,0.8908045977011494,0.8659217877094972,0.9712643678160919,0.931129476584022,0.9281609195402298
